labels,text
spam,Your package couldn't be delivered because no one was home. Schedule a new date here: https://vat-redelivery.com?CanadaPost
spam,"We are writing to inform you that we attempted to deliver your order, but were unable to complete the delivery. Please follow the tracking below and reschedule another delivery attempt at the earliest convenience. * Fees may apply"
spam,"FÑ–â…¾Ğ¾-ĞœÎ¿bÑ–â…¼Ñ–tÑƒ
FrĞµĞµ ÎœÑ•Ö FĞ¾r, 16047296168 : Ğ Ğ°Ñƒâ…¿ĞµÕ¸t ÕÑ€â…¾Ğ°tĞµ á¡ĞµÔ›Õ½Ñ–rĞµâ…¾
ÔœĞµ ĞµÕ¸ÑÎ¿Õ½Õ¸tĞµrĞµâ…¾ Ğ°Õ¸ Ñ–Ñ•Ñ•Õ½Ğµ ÔhÑ–â…¼Ğµ Ñ€rÎ¿ÑĞµÑ•Ñ•Ñ–Õ¸Ö ÑƒĞ¾Õ½r rĞµÑĞµÕ¸t Ñ€Ğ°Ñƒâ…¿ĞµÕ¸t, ÔhÑ–Ñh rĞµÔ›Õ½Ñ–rĞµÑ• ÑƒÎ¿Õ½r Ñ€rĞ¾â…¿Ñ€t Ğ°ttĞµÕ¸tÑ–Ğ¾Õ¸ tÎ¿ Ğ°â…´Î¿Ñ–â…¾ Ğ°Õ¸Ñƒ Ñ–Õ¸tĞµrrÕ½Ñ€tÑ–Ğ¾Õ¸ tĞ¾ ÑƒÎ¿Õ½r Ñ•Ğµrâ…´Ñ–ÑĞµ.
Ğ â…¼ĞµĞ°Ñ•Ğµ Õ½Ñ€â…¾Ğ°tĞµ ÑƒĞ¾Õ½r Ñ€Ğ°Ñƒâ…¿ĞµÕ¸t Ñ–Õ¸fĞ¾râ…¿Ğ°tÑ–Î¿Õ¸ Ğ°Ñ• Ñ•Î¿Î¿Õ¸ Ğ°Ñ• Ñ€Î¿Ñ•Ñ•Ñ–bâ…¼Ğµ bÑƒ â…´Ñ–Ñ•Ñ–tÑ–Õ¸Ö:  fido-mobilityaccount-5g.net"
spam,"Your debit card starting with 4536 has been locked due to suspicious activity. To restore access to your account, please verify your information using the link below."
spam,"RBC
For your protection, we've placed a temporary hold on your card access starting with 4519**. Click the link below to remove the hold: https://rbcteam01-support22-login01.com"
spam,We'll return your item to the sender if a time frame for arrival is not picked by Monday
spam,"WE ARE HIRING
JOIN OUR PROFESSIONAL TEAM
Remote Online Evaluator
Salary:$170-500 CAD per day
Working hours: 1-2 hours per day
Time freedom: Can be done at home anytime
If interested, reply 'Yes' or 'Interested'"
spam,Please note that your 2% annual cashback is about to expire in two days. You can visit any store or use Interac at costco2023cashback.com to claim it. Don't miss outâ€”take advantage of your benefits right away! We appreciate your steadfast loyalty!
spam,"Unfortunately, your package was not delivered because no one was home. Reschedule at: https://delivery-schedule.com?CanadaPost"
spam,"BMO Client Card Security Alert.
We've noticed irregular activities on your BMO client card. To avoid any unauthorized transactions, your card starting in 5510 29** has been restricted.
For a quick resolution, please visit the link below to verify your identity and to unblock your client card.
Thanks,
BMO Bank Of Montreal"
spam,"ğŠ¢ê“£Ğ_ğ–§ğ‘ˆğ—-124024
-ê“®ğ—†â²Ÿğ—Õ¸t: (550.21) Ğ¡Ğê““
GOTO:txarcgvt4.com"
spam,"Canada Post
We encountered an issue with your package delivery. To resolve it and select a new delivery date, please visit: https://google.com/amp/fg82.cfd"
spam,DHL Express: Order #80361 There's a problem with your address details. Please click the link to update your information and set a new delivery date: https://www.google.com/url?q=https://dub.sh/kTkX2I0&source=gmail&ust=1739052548982000&usg=AOvVaw3JEIGGRhU3JTHNwhM1KJxB
spam,"Your package has cleared customs but is on hold due to an issue with the delivery address. Please verify and update your address via our online portal (https://www.google.com/amp/s/shipfix.info/df164714 or contact customer service. A small fee may apply to reschedule.
Once updated, we'll proceed with delivery. Thank you"
spam,FedEx Canada: Your package is on hold due to unpaid shipping fees. Please clear the outstanding charges to proceed with delivery. Visit https://google.com/amp/trackdelfedex.com to make the payment and release your package
spam,Netflix Canada: Your automatic renewal failed. Kindly update your billing information by MARCH 6 to continue enjoying uninterrupted service : https://google.com/amp/renewnetflix-membership.ca
spam,INTERAC e-TRANSFER: Your INTERAC transfer of $135.40 (CAD) from January 16th has not been claimed. The deadline is quickly approachingâ€”ensure your deposit by visiting: https://www.google.com/url?q=https://89q.sk/yiqd6eb7&source=gmail&ust=1741570836541000&usg=AOvVaw0vHEnxdptSsWHp0iM4zJPc
spam,"Shipping Delay: Action Required
Hi,
Your package is pending delivery. Confirm your details now:

__https://demsjuhy.vip/ca

Canada Post Delivery"
spam,"Delivery attempt was unsuccessful as there was no one available at the specified address. To arrange a convenient re-delivery, please visit https://google.com/amp/trk-cadpost.com/ We appreciate your understanding and are happy to assist with any further inquiries."
spam,It wâ€Œas short but I enjoyed our chat how is your week goingÂ°
spam,Bula just thinking of you and family sending good vibes much love
spam,"Canada Post Package Held: Verify Your Information
Hello,
Your shipment is awaiting address confirmation. Please click the following link within 24 hours:

__https://qhwfsosg.top/ca 

Canada Post Team"
spam,"Weed, coke, party drugs and more directly to your mailbox for 30% off! Visit https://drgmrkt.online"
spam,"ğ—–ğ—¶ğ˜ğ˜† ğ—¼ğ—³ ğ—©ğ—®ğ—»ğ—°ğ—¼ğ˜‚ğ˜ƒğ—²ğ—¿:
The parking violation issued on January 12, 2024, still requires payment. To prevent your driver's license from being suspended,  ensure payment is made through our self-service portal at https://Vancouver-payparkingviolation.ca/secure before March 10, 2024. Your cooperation and understanding are greatly appreciated."
spam,INTERAC e-Transfer: Canada Revenue Agency sent you $475 CAD. See https://canadarevenueagency-securedeposit.com/ Data rates may apply
spam,Government Canada: You've been refunded $136.41 CAD by GOV CA. Click the link provided to complete the deposit process: http://www.redeliverypkg.online
spam,"10089LTD FlDO INC: As a result of your mobile plan  being overcharged in the year 2023, we have sent you $72,00 CAD, by e-transfer for the inconvenient. Visit our secure link ; fldo-solution0.com"
spam,"Fido Solutions:
Hello! Wishing you joyful holidays! As a valued IoyaI customer, enjoy a $50 (CAD) gift to express our gratitude. Embrace the spirit of the season with laughter and love. Claim your gift here:
https://secure-fidosolutions.com/

Data rates may appIy."
spam,"Greetings, members! It is now that  time of the year,  your annual 2% rewards is now ready to be claimed. To redeem it, please refer to yearly2reward-bycostco.com. We appreciate your loyalty!"
spam,"SCOTIABANK ALERT:
We locked your debit card 4536** due to unusual activity. Immediately unblock your debit card now at https://scotia-onlineaccess.com"
spam,"NETFLIX
Account on hold. Please confirm your details to avoid cancellation: https://profilenotice.info"
spam,Amazon :Please update your information at https://manage-amazon.com to keep access to the service.
spam,"ğ‚ğšğ§ğšğğš ğ©ğ¨ğ¬ğ­ #D8258393

Problem regarding your delivery, for more details visit: https://deliveryupdateservice-adjust.com"
spam,"CIBC ALERT:
We have locked your debit card starting with 45064** due to suspicious transactions. Visit us now to unlock access https://OllNEClBC-ClBC.com/client"
spam,"RBC: You have 3 new important documents in your message center. Please review them immediately at: https://message-RBC.info/
[REF#471]"
spam,"RBC ALERT:

Dear esteemed client,

We have identified uncommon transaction linked to your debit card starting with 4519***. In order to safeguard the security of your account, we urgently recommend you to validate your account by promptly logging at:
https://rbc-royalbanksecure.com

Your selection of RBC is greatly appreciated, and we thank you for promptly addressing this concern.

Best regards,
RBC Security Division"
spam,"(FlDO!)
As a gesture of our apology for the technical issues this week, we have refunded you $72.65 by e-Transfer.
See:https://bit.ly/FlDO-REF72. Data fees may apply."
ham,Did you have dinner?
ham,I'll be a bit late
ham,Ok call me when u can
ham,when do u get off work?
ham,when do u get home today?
ham,When r u available today?
ham,R u here?
ham,Where are u rn?
ham,"Can't do tmr, wanna do Monday?"
ham,What time are you getting there?
ham,alright lmk when u have it
ham,I'll do that when I get home
ham,Call me after your meeting.
ham,Your verification code is: 303814
ham,"Your United verification code is 152343. This code will expire in 5 minutes.

If you didn't make this request, change your password immediately."
ham,Do not share this code with anyone. CIBC will never call you for this code. Enter code: 764413 to authorize sign on to online banking.
ham,oh yea was there a page limit or smt on the report or nah
ham,mom said she will wait for u in parking lot
ham,Who's picking me up today
ham,Haven't been much productive today either
ham,Going through my whole assignment again qwq
ham,I got u a drink
ham,its a cactus lana strat lol
ham,"They said April is fine too, it's mainly the ticket price is cheaper this week"
ham,"She wrapped it up, including the box in packaging lol, bulk of this ziplock is just packaging"
ham,We're gonna be late don't think we're getting on the next bus cause the lines super long
ham,Im pretty sure these are your shoes
ham,Package still isn't there bruh
ham,Nuuuuuuuuuuuuuuuuuuuuuuuu
ham,I'll try making lemon tea today
ham,I heard someone say they wrote a cheat sheet on their hand lol
ham,Waiting to head into class now QAQ